graph,n,m,degree,frequency
heur007.gr,200,6731,97,1
heur007.gr,200,6731,98,1
heur007.gr,200,6731,99,2
heur007.gr,200,6731,100,1
heur007.gr,200,6731,101,1
heur007.gr,200,6731,102,2
heur007.gr,200,6731,105,1
heur007.gr,200,6731,106,2
heur007.gr,200,6731,107,3
heur007.gr,200,6731,108,1
heur007.gr,200,6731,110,1
heur007.gr,200,6731,113,1
heur007.gr,200,6731,117,1
heur007.gr,200,6731,118,1
heur007.gr,200,6731,120,1
heur007.gr,200,6731,122,1
heur009.gr,250,1450,0,15
heur009.gr,250,1450,1,11
heur009.gr,250,1450,2,11
heur009.gr,250,1450,3,14
heur009.gr,250,1450,4,9
heur009.gr,250,1450,5,10
heur009.gr,250,1450,6,11
heur009.gr,250,1450,7,8
heur009.gr,250,1450,8,16
heur009.gr,250,1450,9,11
heur009.gr,250,1450,10,8
heur009.gr,250,1450,11,11
heur009.gr,250,1450,12,7
heur009.gr,250,1450,13,10
heur009.gr,250,1450,14,16
heur009.gr,250,1450,15,7
heur009.gr,250,1450,16,9
heur009.gr,250,1450,17,15
heur009.gr,250,1450,18,10
heur009.gr,250,1450,19,6
heur009.gr,250,1450,20,6
heur009.gr,250,1450,21,6
heur009.gr,250,1450,22,4
heur009.gr,250,1450,23,3
heur009.gr,250,1450,24,1
heur009.gr,250,1450,27,1
heur009.gr,250,1450,28,2
heur009.gr,250,1450,31,2
heur009.gr,250,1450,32,2
heur009.gr,250,1450,33,1
heur009.gr,250,1450,34,1
heur009.gr,250,1450,36,1
heur009.gr,250,1450,41,2
heur009.gr,250,1450,42,1
heur009.gr,250,1450,44,1
heur009.gr,250,1450,46,1
heur011.gr,250,6574,3,1
heur011.gr,250,6574,4,2
heur011.gr,250,6574,8,1
heur011.gr,250,6574,11,1
heur011.gr,250,6574,14,1
heur011.gr,250,6574,17,2
heur011.gr,250,6574,18,3
heur011.gr,250,6574,19,2
heur011.gr,250,6574,20,2
heur011.gr,250,6574,21,6
heur011.gr,250,6574,22,4
heur011.gr,250,6574,23,11
heur011.gr,250,6574,24,4
heur011.gr,250,6574,25,3
heur011.gr,250,6574,26,14
heur011.gr,250,6574,27,6
heur011.gr,250,6574,28,4
heur011.gr,250,6574,29,8
heur011.gr,250,6574,30,4
heur011.gr,250,6574,31,10
heur011.gr,250,6574,32,2
heur011.gr,250,6574,33,2
heur011.gr,250,6574,34,6
heur011.gr,250,6574,35,6
heur011.gr,250,6574,36,5
heur011.gr,250,6574,37,4
heur011.gr,250,6574,38,2
heur011.gr,250,6574,39,7
heur011.gr,250,6574,40,7
heur011.gr,250,6574,41,1
heur011.gr,250,6574,42,2
heur011.gr,250,6574,44,1
heur011.gr,250,6574,45,1
heur011.gr,250,6574,46,1
heur011.gr,250,6574,47,2
heur011.gr,250,6574,48,3
heur011.gr,250,6574,49,7
heur011.gr,250,6574,50,2
heur011.gr,250,6574,51,3
heur011.gr,250,6574,55,1
heur011.gr,250,6574,58,1
heur011.gr,250,6574,61,2
heur011.gr,250,6574,62,1
heur011.gr,250,6574,64,1
heur011.gr,250,6574,66,4
heur011.gr,250,6574,68,2
heur011.gr,250,6574,71,2
heur011.gr,250,6574,73,1
heur011.gr,250,6574,74,3
heur011.gr,250,6574,75,4
heur011.gr,250,6574,76,5
heur011.gr,250,6574,78,2
heur011.gr,250,6574,79,2
heur011.gr,250,6574,80,3
heur011.gr,250,6574,81,2
heur011.gr,250,6574,82,1
heur011.gr,250,6574,83,1
heur011.gr,250,6574,84,3
heur011.gr,250,6574,85,2
heur011.gr,250,6574,86,2
heur011.gr,250,6574,87,3
heur011.gr,250,6574,88,1
heur011.gr,250,6574,89,1
heur011.gr,250,6574,90,2
heur011.gr,250,6574,91,3
heur011.gr,250,6574,92,1
heur011.gr,250,6574,93,5
heur011.gr,250,6574,94,3
heur011.gr,250,6574,95,3
heur011.gr,250,6574,96,3
heur011.gr,250,6574,97,7
heur011.gr,250,6574,98,5
heur011.gr,250,6574,99,1
heur011.gr,250,6574,101,1
heur011.gr,250,6574,102,2
heur011.gr,250,6574,103,2
heur011.gr,250,6574,104,4
heur011.gr,250,6574,106,2
heur011.gr,250,6574,111,1
heur011.gr,250,6574,115,1
heur011.gr,250,6574,116,1
heur013.gr,250,22395,54,1
heur013.gr,250,22395,57,1
heur013.gr,250,22395,58,2
heur013.gr,250,22395,63,1
heur013.gr,250,22395,64,2
heur013.gr,250,22395,72,1
heur013.gr,250,22395,77,2
heur013.gr,250,22395,84,1
heur013.gr,250,22395,85,6
heur013.gr,250,22395,90,1
heur013.gr,250,22395,95,2
heur013.gr,250,22395,97,1
heur013.gr,250,22395,98,1
heur013.gr,250,22395,101,1
heur013.gr,250,22395,102,2
heur013.gr,250,22395,104,1
heur013.gr,250,22395,110,1
heur013.gr,250,22395,111,1
heur013.gr,250,22395,113,2
heur013.gr,250,22395,118,1
heur013.gr,250,22395,121,1
heur013.gr,250,22395,123,1
heur013.gr,250,22395,129,1
heur013.gr,250,22395,132,1
heur013.gr,250,22395,134,2
heur013.gr,250,22395,135,1
heur013.gr,250,22395,136,1
heur013.gr,250,22395,139,3
heur013.gr,250,22395,140,1
heur013.gr,250,22395,144,1
heur013.gr,250,22395,145,2
heur013.gr,250,22395,147,2
heur013.gr,250,22395,148,3
heur013.gr,250,22395,149,1
heur013.gr,250,22395,150,1
heur013.gr,250,22395,151,1
heur013.gr,250,22395,152,3
heur013.gr,250,22395,153,2
heur013.gr,250,22395,155,1
heur013.gr,250,22395,157,1
heur013.gr,250,22395,158,1
heur013.gr,250,22395,159,2
heur013.gr,250,22395,160,2
heur013.gr,250,22395,161,1
heur013.gr,250,22395,162,2
heur013.gr,250,22395,164,1
heur013.gr,250,22395,167,1
heur013.gr,250,22395,168,3
heur013.gr,250,22395,169,3
heur013.gr,250,22395,170,3
heur013.gr,250,22395,171,4
heur013.gr,250,22395,172,2
heur013.gr,250,22395,173,2
heur013.gr,250,22395,174,1
heur013.gr,250,22395,175,1
heur013.gr,250,22395,176,1
heur013.gr,250,22395,177,2
heur013.gr,250,22395,178,3
heur013.gr,250,22395,179,4
heur013.gr,250,22395,180,2
heur013.gr,250,22395,181,1
heur013.gr,250,22395,183,3
heur013.gr,250,22395,184,3
heur013.gr,250,22395,185,1
heur013.gr,250,22395,186,3
heur013.gr,250,22395,187,4
heur013.gr,250,22395,188,3
heur013.gr,250,22395,189,2
heur013.gr,250,22395,190,4
heur013.gr,250,22395,191,3
heur013.gr,250,22395,192,5
heur013.gr,250,22395,193,6
heur013.gr,250,22395,194,5
heur013.gr,250,22395,195,1
heur013.gr,250,22395,196,5
heur013.gr,250,22395,197,2
heur013.gr,250,22395,198,2
heur013.gr,250,22395,199,4
heur013.gr,250,22395,200,2
heur013.gr,250,22395,201,1
heur013.gr,250,22395,204,4
heur013.gr,250,22395,205,1
heur013.gr,250,22395,206,2
heur013.gr,250,22395,207,6
heur013.gr,250,22395,208,2
heur013.gr,250,22395,209,4
heur013.gr,250,22395,210,5
heur013.gr,250,22395,211,4
heur013.gr,250,22395,212,2
heur013.gr,250,22395,213,2
heur013.gr,250,22395,214,2
heur013.gr,250,22395,215,2
heur013.gr,250,22395,216,3
heur013.gr,250,22395,217,1
heur013.gr,250,22395,218,1
heur013.gr,250,22395,219,3
heur013.gr,250,22395,220,4
heur013.gr,250,22395,221,4
heur013.gr,250,22395,222,5
heur013.gr,250,22395,223,2
heur013.gr,250,22395,224,2
heur013.gr,250,22395,225,1
heur013.gr,250,22395,226,3
heur013.gr,250,22395,227,2
heur013.gr,250,22395,228,1
heur013.gr,250,22395,229,3
heur013.gr,250,22395,230,2
heur013.gr,250,22395,232,1
heur013.gr,250,22395,233,1
heur013.gr,250,22395,234,3
heur013.gr,250,22395,235,2
heur013.gr,250,22395,236,2
heur013.gr,250,22395,237,1
heur013.gr,250,22395,238,2
heur013.gr,250,22395,240,2
heur013.gr,250,22395,241,1
heur015.gr,300,15035,31,1
heur015.gr,300,15035,33,1
heur015.gr,300,15035,34,1
heur015.gr,300,15035,35,1
heur015.gr,300,15035,37,1
heur015.gr,300,15035,38,2
heur015.gr,300,15035,39,4
heur015.gr,300,15035,40,2
heur015.gr,300,15035,41,3
heur015.gr,300,15035,42,6
heur015.gr,300,15035,43,2
heur015.gr,300,15035,44,5
heur015.gr,300,15035,45,2
heur015.gr,300,15035,46,3
heur015.gr,300,15035,47,2
heur015.gr,300,15035,48,1
heur015.gr,300,15035,49,5
heur015.gr,300,15035,50,6
heur015.gr,300,15035,51,6
heur015.gr,300,15035,52,2
heur015.gr,300,15035,53,3
heur015.gr,300,15035,55,1
heur015.gr,300,15035,57,3
heur015.gr,300,15035,58,4
heur015.gr,300,15035,60,2
heur015.gr,300,15035,61,2
heur015.gr,300,15035,62,4
heur015.gr,300,15035,63,1
heur015.gr,300,15035,65,3
heur015.gr,300,15035,66,2
heur015.gr,300,15035,67,1
heur015.gr,300,15035,68,1
heur015.gr,300,15035,69,1
heur015.gr,300,15035,70,1
heur015.gr,300,15035,71,1
heur015.gr,300,15035,73,1
heur015.gr,300,15035,74,1
heur015.gr,300,15035,75,2
heur015.gr,300,15035,77,2
heur015.gr,300,15035,78,3
heur015.gr,300,15035,79,2
heur015.gr,300,15035,80,2
heur015.gr,300,15035,81,4
heur015.gr,300,15035,82,2
heur015.gr,300,15035,83,1
heur015.gr,300,15035,84,1
heur015.gr,300,15035,85,1
heur015.gr,300,15035,86,2
heur015.gr,300,15035,87,1
heur015.gr,300,15035,88,1
heur015.gr,300,15035,89,4
heur015.gr,300,15035,91,1
heur015.gr,300,15035,92,2
heur015.gr,300,15035,93,2
heur015.gr,300,15035,95,2
heur015.gr,300,15035,96,2
heur015.gr,300,15035,98,2
heur015.gr,300,15035,99,2
heur015.gr,300,15035,101,2
heur015.gr,300,15035,102,1
heur015.gr,300,15035,103,2
heur015.gr,300,15035,106,1
heur015.gr,300,15035,107,3
heur015.gr,300,15035,108,3
heur015.gr,300,15035,109,2
heur015.gr,300,15035,110,1
heur015.gr,300,15035,112,6
heur015.gr,300,15035,113,2
heur015.gr,300,15035,114,8
heur015.gr,300,15035,115,3
heur015.gr,300,15035,116,5
heur015.gr,300,15035,117,9
heur015.gr,300,15035,118,3
heur015.gr,300,15035,119,3
heur015.gr,300,15035,120,4
heur015.gr,300,15035,121,4
heur015.gr,300,15035,122,4
heur015.gr,300,15035,123,3
heur015.gr,300,15035,124,2
heur015.gr,300,15035,125,4
heur015.gr,300,15035,126,7
heur015.gr,300,15035,127,1
heur015.gr,300,15035,128,4
heur015.gr,300,15035,129,4
heur015.gr,300,15035,130,2
heur015.gr,300,15035,131,4
heur015.gr,300,15035,132,6
heur015.gr,300,15035,133,2
heur015.gr,300,15035,134,6
heur015.gr,300,15035,135,6
heur015.gr,300,15035,136,2
heur015.gr,300,15035,137,5
heur015.gr,300,15035,138,2
heur015.gr,300,15035,139,3
heur015.gr,300,15035,140,5
heur015.gr,300,15035,141,3
heur015.gr,300,15035,142,4
heur015.gr,300,15035,144,4
heur015.gr,300,15035,145,3
heur015.gr,300,15035,146,3
heur015.gr,300,15035,147,1
heur015.gr,300,15035,148,2
heur015.gr,300,15035,149,2
heur015.gr,300,15035,150,2
heur015.gr,300,15035,151,1
heur015.gr,300,15035,152,2
heur015.gr,300,15035,154,1
heur015.gr,300,15035,155,2
heur015.gr,300,15035,159,1
heur015.gr,300,15035,160,2
heur015.gr,300,15035,163,1
heur015.gr,300,15035,168,1
heur015.gr,300,15035,171,1
heur015.gr,300,15035,176,1
heur017.gr,300,15641,43,1
heur017.gr,300,15641,46,1
heur017.gr,300,15641,52,2
heur017.gr,300,15641,57,2
heur017.gr,300,15641,58,2
heur017.gr,300,15641,59,2
heur017.gr,300,15641,60,1
heur017.gr,300,15641,61,1
heur017.gr,300,15641,62,2
heur017.gr,300,15641,63,7
heur017.gr,300,15641,64,3
heur017.gr,300,15641,65,3
heur017.gr,300,15641,66,1
heur017.gr,300,15641,67,3
heur017.gr,300,15641,68,1
heur017.gr,300,15641,69,4
heur017.gr,300,15641,70,5
heur017.gr,300,15641,71,3
heur017.gr,300,15641,72,3
heur017.gr,300,15641,73,5
heur017.gr,300,15641,75,2
heur017.gr,300,15641,76,3
heur017.gr,300,15641,77,4
heur017.gr,300,15641,78,7
heur017.gr,300,15641,79,3
heur017.gr,300,15641,81,4
heur017.gr,300,15641,82,6
heur017.gr,300,15641,83,3
heur017.gr,300,15641,84,3
heur017.gr,300,15641,85,4
heur017.gr,300,15641,86,3
heur017.gr,300,15641,87,5
heur017.gr,300,15641,88,6
heur017.gr,300,15641,89,3
heur017.gr,300,15641,90,2
heur017.gr,300,15641,91,2
heur017.gr,300,15641,92,4
heur017.gr,300,15641,93,3
heur017.gr,300,15641,94,1
heur017.gr,300,15641,95,5
heur017.gr,300,15641,96,2
heur017.gr,300,15641,97,2
heur017.gr,300,15641,98,2
heur017.gr,300,15641,99,4
heur017.gr,300,15641,100,5
heur017.gr,300,15641,101,1
heur017.gr,300,15641,102,3
heur017.gr,300,15641,103,5
heur017.gr,300,15641,104,3
heur017.gr,300,15641,105,3
heur017.gr,300,15641,106,3
heur017.gr,300,15641,107,3
heur017.gr,300,15641,108,2
heur017.gr,300,15641,109,3
heur017.gr,300,15641,110,4
heur017.gr,300,15641,111,3
heur017.gr,300,15641,112,3
heur017.gr,300,15641,113,2
heur017.gr,300,15641,114,4
heur017.gr,300,15641,115,5
heur017.gr,300,15641,116,6
heur017.gr,300,15641,117,3
heur017.gr,300,15641,118,4
heur017.gr,300,15641,119,3
heur017.gr,300,15641,120,5
heur017.gr,300,15641,121,5
heur017.gr,300,15641,122,1
heur017.gr,300,15641,123,1
heur017.gr,300,15641,124,4
heur017.gr,300,15641,125,4
heur017.gr,300,15641,126,3
heur017.gr,300,15641,127,2
heur017.gr,300,15641,129,1
heur017.gr,300,15641,130,5
heur017.gr,300,15641,131,2
heur017.gr,300,15641,132,5
heur017.gr,300,15641,133,4
heur017.gr,300,15641,134,3
heur017.gr,300,15641,135,3
heur017.gr,300,15641,136,7
heur017.gr,300,15641,137,3
heur017.gr,300,15641,138,2
heur017.gr,300,15641,139,2
heur017.gr,300,15641,140,5
heur017.gr,300,15641,141,1
heur017.gr,300,15641,142,1
heur017.gr,300,15641,143,2
heur017.gr,300,15641,144,6
heur017.gr,300,15641,145,2
heur017.gr,300,15641,146,2
heur017.gr,300,15641,147,1
heur017.gr,300,15641,149,1
heur017.gr,300,15641,150,2
heur017.gr,300,15641,153,1
heur017.gr,300,15641,154,3
heur017.gr,300,15641,155,2
heur017.gr,300,15641,162,1
heur017.gr,300,15641,164,2
heur017.gr,300,15641,166,1
heur017.gr,300,15641,171,1
heur017.gr,300,15641,172,1
heur019.gr,300,28765,65,1
heur019.gr,300,28765,66,1
heur019.gr,300,28765,67,1
heur019.gr,300,28765,68,2
heur019.gr,300,28765,69,1
heur019.gr,300,28765,71,1
heur019.gr,300,28765,72,1
heur019.gr,300,28765,73,1
heur019.gr,300,28765,74,2
heur019.gr,300,28765,75,1
heur019.gr,300,28765,77,1
heur019.gr,300,28765,78,2
heur019.gr,300,28765,79,2
heur019.gr,300,28765,80,1
heur019.gr,300,28765,81,1
heur019.gr,300,28765,82,1
heur019.gr,300,28765,83,1
heur019.gr,300,28765,84,1
heur019.gr,300,28765,86,1
heur019.gr,300,28765,87,1
heur019.gr,300,28765,88,1
heur019.gr,300,28765,89,1
heur019.gr,300,28765,90,1
heur019.gr,300,28765,94,1
heur019.gr,300,28765,96,2
heur019.gr,300,28765,97,1
heur019.gr,300,28765,99,1
heur019.gr,300,28765,102,1
heur019.gr,300,28765,105,1
heur019.gr,300,28765,109,1
heur019.gr,300,28765,113,1
heur019.gr,300,28765,114,1
heur019.gr,300,28765,118,1
heur019.gr,300,28765,121,4
heur019.gr,300,28765,124,2
heur019.gr,300,28765,127,2
heur019.gr,300,28765,128,1
heur019.gr,300,28765,130,1
heur019.gr,300,28765,131,1
heur019.gr,300,28765,133,2
heur019.gr,300,28765,136,2
heur019.gr,300,28765,140,1
heur019.gr,300,28765,141,1
heur019.gr,300,28765,143,2
heur019.gr,300,28765,145,1
heur019.gr,300,28765,146,2
heur019.gr,300,28765,151,1
heur019.gr,300,28765,154,1
heur019.gr,300,28765,156,1
heur019.gr,300,28765,157,1
heur019.gr,300,28765,158,3
heur019.gr,300,28765,159,1
heur019.gr,300,28765,160,1
heur019.gr,300,28765,162,2
heur019.gr,300,28765,163,2
heur019.gr,300,28765,165,2
heur019.gr,300,28765,167,2
heur019.gr,300,28765,169,1
heur019.gr,300,28765,173,1
heur019.gr,300,28765,175,1
heur019.gr,300,28765,176,3
heur019.gr,300,28765,177,2
heur019.gr,300,28765,178,2
heur019.gr,300,28765,179,1
heur019.gr,300,28765,180,1
heur019.gr,300,28765,181,2
heur019.gr,300,28765,182,3
heur019.gr,300,28765,183,3
heur019.gr,300,28765,184,3
heur019.gr,300,28765,185,1
heur019.gr,300,28765,186,4
heur019.gr,300,28765,188,2
heur019.gr,300,28765,190,2
heur019.gr,300,28765,191,1
heur019.gr,300,28765,192,3
heur019.gr,300,28765,193,2
heur019.gr,300,28765,194,1
heur019.gr,300,28765,195,1
heur019.gr,300,28765,196,5
heur019.gr,300,28765,197,4
heur019.gr,300,28765,198,4
heur019.gr,300,28765,199,2
heur019.gr,300,28765,200,3
heur019.gr,300,28765,201,2
heur019.gr,300,28765,203,2
heur019.gr,300,28765,204,1
heur019.gr,300,28765,205,6
heur019.gr,300,28765,207,1
heur019.gr,300,28765,208,2
heur019.gr,300,28765,209,3
heur019.gr,300,28765,210,4
heur019.gr,300,28765,211,4
heur019.gr,300,28765,212,5
heur019.gr,300,28765,213,5
heur019.gr,300,28765,214,3
heur019.gr,300,28765,215,1
heur019.gr,300,28765,216,5
heur019.gr,300,28765,217,4
heur019.gr,300,28765,218,1
heur019.gr,300,28765,219,3
heur019.gr,300,28765,220,4
heur019.gr,300,28765,221,6
heur019.gr,300,28765,222,3
heur019.gr,300,28765,223,4
heur019.gr,300,28765,224,2
heur019.gr,300,28765,225,3
heur019.gr,300,28765,226,5
heur019.gr,300,28765,227,5
heur019.gr,300,28765,228,3
heur019.gr,300,28765,229,2
heur019.gr,300,28765,230,2
heur019.gr,300,28765,231,3
heur019.gr,300,28765,232,5
heur019.gr,300,28765,233,3
heur019.gr,300,28765,234,4
heur019.gr,300,28765,235,3
heur019.gr,300,28765,236,5
heur019.gr,300,28765,237,5
heur019.gr,300,28765,238,1
heur019.gr,300,28765,239,3
heur019.gr,300,28765,240,1
heur019.gr,300,28765,241,5
heur019.gr,300,28765,242,1
heur019.gr,300,28765,243,1
heur019.gr,300,28765,244,3
heur019.gr,300,28765,245,5
heur019.gr,300,28765,246,3
heur019.gr,300,28765,247,1
heur019.gr,300,28765,248,1
heur019.gr,300,28765,249,2
heur019.gr,300,28765,250,3
heur019.gr,300,28765,252,2
heur019.gr,300,28765,255,1
heur019.gr,300,28765,256,4
heur019.gr,300,28765,257,2
heur019.gr,300,28765,258,1
heur019.gr,300,28765,259,1
heur019.gr,300,28765,261,3
heur019.gr,300,28765,264,1
heur019.gr,300,28765,277,1
heur021.gr,320,13507,5,1
heur021.gr,320,13507,12,3
heur021.gr,320,13507,13,1
heur021.gr,320,13507,16,3
heur021.gr,320,13507,17,4
heur021.gr,320,13507,18,2
heur021.gr,320,13507,19,5
heur021.gr,320,13507,21,1
heur021.gr,320,13507,22,3
heur021.gr,320,13507,23,8
heur021.gr,320,13507,24,3
heur021.gr,320,13507,25,4
heur021.gr,320,13507,26,2
heur021.gr,320,13507,27,2
heur021.gr,320,13507,28,4
heur021.gr,320,13507,30,3
heur021.gr,320,13507,31,3
heur021.gr,320,13507,33,1
heur021.gr,320,13507,34,2
heur021.gr,320,13507,35,2
heur021.gr,320,13507,37,1
heur021.gr,320,13507,38,1
heur021.gr,320,13507,39,1
heur021.gr,320,13507,42,5
heur021.gr,320,13507,44,1
heur021.gr,320,13507,45,2
heur021.gr,320,13507,46,1
heur021.gr,320,13507,49,1
heur021.gr,320,13507,53,2
heur021.gr,320,13507,54,1
heur021.gr,320,13507,55,1
heur021.gr,320,13507,56,3
heur021.gr,320,13507,57,1
heur021.gr,320,13507,59,2
heur021.gr,320,13507,60,4
heur021.gr,320,13507,61,3
heur021.gr,320,13507,62,5
heur021.gr,320,13507,63,5
heur021.gr,320,13507,64,2
heur021.gr,320,13507,65,2
heur021.gr,320,13507,66,6
heur021.gr,320,13507,67,4
heur021.gr,320,13507,68,7
heur021.gr,320,13507,69,5
heur021.gr,320,13507,70,6
heur021.gr,320,13507,71,11
heur021.gr,320,13507,72,3
heur021.gr,320,13507,73,5
heur021.gr,320,13507,74,3
heur021.gr,320,13507,75,2
heur021.gr,320,13507,76,3
heur021.gr,320,13507,77,2
heur021.gr,320,13507,79,1
heur021.gr,320,13507,80,1
heur021.gr,320,13507,81,1
heur021.gr,320,13507,82,3
heur021.gr,320,13507,83,2
heur021.gr,320,13507,84,4
heur021.gr,320,13507,85,1
heur021.gr,320,13507,86,2
heur021.gr,320,13507,87,1
heur021.gr,320,13507,90,4
heur021.gr,320,13507,91,2
heur021.gr,320,13507,93,1
heur021.gr,320,13507,94,1
heur021.gr,320,13507,95,1
heur021.gr,320,13507,96,4
heur021.gr,320,13507,97,4
heur021.gr,320,13507,98,4
heur021.gr,320,13507,99,3
heur021.gr,320,13507,100,1
heur021.gr,320,13507,101,2
heur021.gr,320,13507,102,2
heur021.gr,320,13507,103,3
heur021.gr,320,13507,104,1
heur021.gr,320,13507,105,4
heur021.gr,320,13507,106,4
heur021.gr,320,13507,108,1
heur021.gr,320,13507,109,3
heur021.gr,320,13507,110,7
heur021.gr,320,13507,111,5
heur021.gr,320,13507,112,4
heur021.gr,320,13507,114,4
heur021.gr,320,13507,115,8
heur021.gr,320,13507,116,1
heur021.gr,320,13507,117,3
heur021.gr,320,13507,118,3
heur021.gr,320,13507,119,2
heur021.gr,320,13507,120,3
heur021.gr,320,13507,121,1
heur021.gr,320,13507,122,5
heur021.gr,320,13507,123,2
heur021.gr,320,13507,126,2
heur021.gr,320,13507,127,1
heur021.gr,320,13507,130,2
heur021.gr,320,13507,132,1
heur021.gr,320,13507,134,1
heur021.gr,320,13507,135,1
heur021.gr,320,13507,136,5
heur021.gr,320,13507,137,6
heur021.gr,320,13507,138,1
heur021.gr,320,13507,139,1
heur021.gr,320,13507,143,1
heur021.gr,320,13507,144,1
heur021.gr,320,13507,145,1
heur021.gr,320,13507,146,2
heur021.gr,320,13507,149,2
heur021.gr,320,13507,150,3
heur021.gr,320,13507,151,1
heur021.gr,320,13507,153,2
